ts_code,extname,etf_type,size_yi,exchange,qlib_code
512660.SH,军工ETF国泰,其他行业ETF,101.7750888,SH,SH512660
159842.SZ,券商ETF银华,宽基指数ETF,101.20761621,SZ,SZ159842
515790.SH,光伏ETF华泰柏瑞,新能源ETF,99.59192272,SH,SH515790
515050.SH,通信ETF华夏,其他行业ETF,98.04580655000001,SH,SH515050
512710.SH,军工龙头ETF富国,其他行业ETF,97.84016015,SH,SH512710
159816.SZ,0-4年地方债ETF鹏华,其他债券ETF,96.60518247,SZ,SZ159816
515080.SH,中证红利ETF招商,红利价值ETF,93.74465781,SH,SH515080
588050.SH,科创50ETF工银,宽基指数ETF,90.44165291,SH,SH588050
513040.SH,港股通互联网ETF易方达,港股ETF,88.73631155,SH,SH513040
515330.SH,沪深300ETF天弘,宽基指数ETF,88.35289356,SH,SH515330
515220.SH,煤炭ETF国泰,其他行业ETF,86.10109071,SH,SH515220
159567.SZ,港股创新药ETF银华,港股ETF,82.24458856,SZ,SZ159567
159566.SZ,储能电池ETF易方达,新能源ETF,80.66749772,SZ,SZ159566
563020.SH,红利低波ETF易方达,红利价值ETF,80.64453597,SH,SH563020
516160.SH,新能源ETF南方,新能源ETF,78.60761398999999,SH,SH516160
516120.SH,化工ETF富国,其他行业ETF,76.49061166,SH,SH516120
159545.SZ,恒生红利低波ETF易方达,红利价值ETF,73.42495668000001,SZ,SZ159545
159796.SZ,电池ETF汇添富,新能源ETF,72.91000824,SZ,SZ159796
159980.SZ,有色ETF大成,其他行业ETF,67.80888519,SZ,SZ159980
159157.SZ,有色金属ETF天弘,其他行业ETF,67.31833358,SZ,SZ159157
159691.SZ,港股红利ETF工银,红利价值ETF,66.42882761,SZ,SZ159691
513060.SH,恒生医疗ETF博时,医药医疗ETF,64.93320981,SH,SH513060
159217.SZ,港股通创新药ETF工银,港股ETF,62.92749058,SZ,SZ159217
159892.SZ,恒生医药ETF华夏,医药医疗ETF,62.799110129999995,SZ,SZ159892
511580.SH,国债政金债ETF招商,金融ETF,58.49323648,SH,SH511580
516020.SH,化工ETF华宝,其他行业ETF,57.31094397,SH,SH516020
159399.SZ,现金流ETF国泰,货币ETF,56.06350111,SZ,SZ159399
512980.SH,传媒ETF广发,其他行业ETF,55.63236800000001,SH,SH512980
512680.SH,军工ETF广发,其他行业ETF,55.499355550000004,SH,SH512680
511270.SH,10年地方债ETF海富通,其他债券ETF,54.27018643,SH,SH511270
515030.SH,新能源车ETF华夏,新能源ETF,53.96311986999999,SH,SH515030
159650.SZ,国开债ETF博时,其他债券ETF,51.97346235,SZ,SZ159650
159736.SZ,食品饮料ETF天弘,消费ETF,50.606934100000004,SZ,SZ159736
515290.SH,银行ETF天弘,金融ETF,47.78819912,SH,SH515290
515170.SH,食品饮料ETF华夏,消费ETF,46.9915362,SH,SH515170
159652.SZ,有色ETF汇添富,其他行业ETF,43.75908866,SZ,SZ159652
561910.SH,电池ETF招商,新能源ETF,43.74900938,SH,SH561910
510230.SH,金融ETF国泰,金融ETF,42.390504,SH,SH510230
159232.SZ,自由现金流ETF南方,货币ETF,41.441527470000004,SZ,SZ159232
511010.SH,国债ETF国泰,国债ETF,40.298433179999996,SH,SH511010
159993.SZ,证券ETF鹏华,金融ETF,39.46549659,SZ,SZ159993
159859.SZ,生物医药ETF天弘,医药医疗ETF,38.543044050000006,SZ,SZ159859
159235.SZ,中证现金流ETF大成,货币ETF,38.23387169,SZ,SZ159235
159981.SZ,能源化工ETF建信,其他行业ETF,37.95134117,SZ,SZ159981
563390.SH,全指现金流ETF华泰柏瑞,货币ETF,37.1206246,SH,SH563390
512290.SH,生物医药ETF国泰,医药医疗ETF,36.80386593,SH,SH512290
515650.SH,消费50ETF富国,消费ETF,35.641508380000005,SH,SH515650
561360.SH,石油ETF国泰,原油ETF,34.79908289,SH,SH561360
560280.SH,工程机械ETF广发,其他行业ETF,34.742397100000005,SH,SH560280
560050.SH,中国A50ETF汇添富,全球ETF,33.35940483,SH,SH560050
159506.SZ,港股通医疗ETF富国,医药医疗ETF,31.1452398,SZ,SZ159506
159825.SZ,农业ETF富国,其他行业ETF,29.99899448,SZ,SZ159825
159625.SZ,绿色电力ETF嘉实,其他行业ETF,29.87816847,SZ,SZ159625
159857.SZ,光伏ETF天弘,新能源ETF,24.724770680000002,SZ,SZ159857
159697.SZ,石油ETF鹏华,原油ETF,23.72769936,SZ,SZ159697
159929.SZ,医药ETF,医药医疗ETF,23.69954956,SZ,SZ159929
513970.SH,恒生消费ETF景顺,消费ETF,23.24771449,SH,SH513970
159828.SZ,医疗ETF国泰,医药医疗ETF,22.917031270000003,SZ,SZ159828
563000.SH,中国A50ETF易方达,全球ETF,21.80412447,SH,SH563000
159222.SZ,自由现金流ETF易方达,货币ETF,20.29160959,SZ,SZ159222
561160.SH,电池ETF富国,新能源ETF,20.2129813,SH,SH561160
513070.SH,港股通消费ETF易方达,消费ETF,20.11244589,SH,SH513070
513800.SH,日本东证指数ETF南方,其他海外ETF,18.8133634,SH,SH513800
515700.SH,新能源车ETF平安,新能源ETF,18.56804138,SH,SH515700
159875.SZ,新能源ETF嘉实,新能源ETF,18.39283561,SZ,SZ159875
516820.SH,医疗创新ETF平安,医药医疗ETF,17.68231541,SH,SH516820
159259.SZ,成长ETF易方达,策略ETF,17.17976105,SZ,SZ159259
159840.SZ,锂电池ETF工银,新能源ETF,16.75010913,SZ,SZ159840
510150.SH,消费ETF招商,消费ETF,16.20980183,SH,SH510150
560260.SH,医疗ETF广发,医药医疗ETF,15.314386319999999,SH,SH560260
513200.SH,港股通医药ETF易方达,医药医疗ETF,15.243609390000001,SH,SH513200
159847.SZ,医疗ETF易方达,医药医疗ETF,14.62305348,SZ,SZ159847
159221.SZ,现金流ETF嘉实,货币ETF,14.01817256,SZ,SZ159221
515710.SH,食品饮料ETF华宝,消费ETF,13.50789381,SH,SH515710
563760.SH,全指现金流ETF中银,货币ETF,12.19662325,SH,SH563760
159588.SZ,石油ETF景顺,原油ETF,11.339589909999999,SZ,SZ159588
588020.SH,科创成长ETF易方达,策略ETF,10.3399262,SH,SH588020
510170.SH,大宗商品ETF国联安,其他商品ETF,6.2568829,SH,SH510170
588110.SH,科创成长ETF广发,策略ETF,3.7541521500000004,SH,SH588110
159916.SZ,基本面ETF建信,策略ETF,2.51737207,SZ,SZ159916
159910.SZ,基本面120ETF嘉实,策略ETF,2.4250797200000003,SZ,SZ159910
159612.SZ,标普500ETF国泰,美股ETF,,SZ,SZ159612
159655.SZ,标普500ETF华夏,美股ETF,,SZ,SZ159655
513500.SH,标普500ETF博时,美股ETF,,SH,SH513500
513650.SH,标普500ETF南方,美股ETF,,SH,SH513650
159561.SZ,德国ETF嘉实,其他海外ETF,,SZ,SZ159561
513030.SH,德国ETF华安,其他海外ETF,,SH,SH513030
