ts_code,extname,index_code,index_name,exchange,mgr_name,list_date,etf_name,total_share,total_size,size_yi,etf_type
513750.SH,港股通非银ETF广发,931024.CSI,中证港股通非银行金融主题指数,SH,广发基金,20231127,港股通非银ETF广发,1680583.8,2658515.5132,265.85155132,金融ETF
159600.SZ,科创债ETF嘉实,932160.CSI,中证AAA科技创新公司债指数,SZ,嘉实基金,20250717,科创债ETF嘉实,26206.8913,2640118.9192,264.01189192,科技电子ETF
159995.SZ,芯片ETF华夏,980017.SZ,国证半导体芯片指数,SZ,华夏基金,20200210,芯片ETF华夏,1338236.3006,2475068.038,247.50680380000003,科技电子ETF
512100.SH,中证1000ETF南方,000852.SH,中证1000指数,SH,南方基金,20161104,中证1000ETF南方,742521.76,2471632.1825,247.16321825,宽基指数ETF
511090.SH,30年国债ETF鹏扬,CBA21801.OTH,中债-30年期国债指数,SH,鹏扬基金,20230613,30年国债ETF鹏扬,20032.81,2323749.8681,232.37498681,国债ETF
513090.SH,香港证券ETF易方达,930709.CSI,中证香港证券投资主题指数,SH,易方达基金,20200326,香港证券ETF易方达,1196748.8,2230620.0883,223.06200883,金融ETF
511110.SH,公司债ETF易方达,950245.CSI,上证基准做市公司债指数,SH,易方达基金,20250124,公司债ETF易方达,21789.96,2225611.2614,222.56112614000003,信用债ETF
159949.SZ,创业板50ETF华安,399673.SZ,创业板50指数,SZ,华安基金,20160722,创业板50ETF华安,1230978.5113,2168614.8434,216.86148434,宽基指数ETF
159206.SZ,卫星ETF永赢,980018.SZ,国证商用卫星通信产业指数,SZ,永赢基金,20250314,卫星ETF永赢,1193095.3365,2154491.5587,215.44915587,其他行业ETF
159516.SZ,半导体设备ETF国泰,931743.CSI,中证半导体材料设备主题指数,SZ,国泰基金,20230727,半导体设备ETF国泰,2356917.9986,2118633.5889,211.86335888999997,科技电子ETF
159112.SZ,科创债ETF银华,932160.CSI,中证AAA科技创新公司债指数,SZ,银华基金,20250924,科创债ETF银华,20618.783,2087278.5788,208.72785788,科技电子ETF
159201.SZ,自由现金流ETF华夏,980092.SZ,国证自由现金流指数,SZ,华夏基金,20250227,自由现金流ETF华夏,1553127.5939,2039101.218,203.9101218,货币ETF
512480.SH,半导体ETF国联安,H30184.CSI,中证全指半导体产品与设备指数,SH,国联安基金,20190612,半导体ETF国联安,1247300.36,2031852.2864,203.18522864000002,宽基指数ETF
159740.SZ,恒生科技ETF大成,HSTECH.HI,恒生科技指数,SZ,大成基金,20210527,恒生科技ETF大成,3127012.0448,2006916.3304,200.69163304,科技电子ETF
513980.SH,港股科技ETF景顺,931573.CSI,中证港股通科技指数,SH,景顺长城基金,20210702,港股科技ETF景顺,2967320.4,2004721.6622,200.47216622,科技电子ETF
159928.SZ,消费ETF,000932.SH,中证主要消费指数,SZ,汇添富基金,20130916,消费ETF,2560062.904,1898542.6496,189.85426496,消费ETF
511070.SH,公司债ETF南方,950245.CSI,上证基准做市公司债指数,SH,南方基金,20250122,公司债ETF南方,18227.1,1856880.3444,185.68803444,信用债ETF
518850.SH,黄金ETF华夏,Au99.99.SGE,黄金9999,SH,华夏基金,20200605,黄金ETF华夏,180037.87,1823747.6155,182.37476155000002,黄金ETF
515880.SH,通信ETF国泰,931160.CSI,中证全指通信设备指数,SH,国泰基金,20190906,通信ETF国泰,1362438.7,1802370.1562,180.23701562000002,宽基指数ETF
510880.SH,红利ETF华泰柏瑞,000015.SH,上证红利指数,SH,华泰柏瑞基金,20070118,红利ETF华泰柏瑞,550517.57,1772391.3166,177.23913166,红利价值ETF
512010.SH,医药ETF易方达,000913.SH,沪深300医药卫生指数,SH,易方达基金,20131028,医药ETF易方达,4682069.49,1713637.4333,171.36374333,宽基指数ETF
511260.SH,十年国债ETF国泰,H01077.CSI,上证10年期国债指数(净价),SH,国泰基金,20170824,十年国债ETF国泰,12517.65,1691572.6328,169.15726328,国债ETF
515450.SH,红利低波50ETF南方,SPCLLHCP.OTH,标普中国A股大盘红利低波50指数,SH,南方基金,20200226,红利低波50ETF南方,1188133.5,1685842.6232,168.58426232,宽基指数ETF
513630.SH,港股低波红利ETF摩根,SPAHLVCP.OTH,标普港股通低波红利指数,SH,摩根基金,20231208,港股低波红利ETF摩根,970735.9,1618896.2604,161.88962604,红利价值ETF
512500.SH,中证500ETF华夏,000905.SH,中证小盘500指数,SH,华夏基金,20150529,中证500ETF华夏,332240.88,1524354.3815,152.43543814999998,宽基指数ETF
511200.SH,信用债ETF华夏,950245.CSI,上证基准做市公司债指数,SH,华夏基金,20250207,信用债ETF华夏,14510.75,1482753.4183,148.27534183,信用债ETF
512070.SH,证券保险ETF易方达,H30035.CSI,沪深300非银行金融指数,SH,易方达基金,20140718,证券保险ETF易方达,1833547.97,1470138.7623,147.01387623,宽基指数ETF
511130.SH,30年国债ETF博时,950175.CSI,上证30年期国债指数,SH,博时基金,20240328,30年国债ETF博时,13518.97,1428307.5703,142.83075703,国债ETF
516650.SH,有色金属ETF华夏,000811.CSI,中证细分有色金属产业主题指数,SH,华夏基金,20210621,有色金属ETF华夏,662146.48,1402823.5325,140.28235325,其他行业ETF
159922.SZ,中证500ETF嘉实,000905.SH,中证小盘500指数,SZ,嘉实基金,20130315,中证500ETF嘉实,423367.6765,1394276.769,139.42767690000002,宽基指数ETF
159755.SZ,电池ETF广发,980032.SZ,国证新能源车电池指数,SZ,广发基金,20210624,电池ETF广发,1157864.6746,1374732.7282,137.47327282,新能源ETF
517520.SH,黄金股ETF永赢,931238.CSI,中证沪深港黄金产业股票指数,SH,永赢基金,20231101,黄金股ETF永赢,590990.4,1357209.4536,135.72094536,黄金ETF
515180.SH,红利ETF易方达,000922.CSI,中证红利指数,SH,易方达基金,20191220,红利ETF易方达,950363.7,1350276.745,135.02767450000002,红利价值ETF
511180.SH,可转债ETF海富通,950041.CSI,上证投资级可转债及可交换债券指数,SH,海富通基金,20200826,可转债ETF海富通,96035.97,1255487.8394,125.54878393999999,可转债ETF
159920.SZ,恒生ETF华夏,HSI.HI,恒生指数,SZ,华夏基金,20121022,恒生ETF华夏,732555.9219,1140369.8036,114.03698036,港股ETF
511100.SH,国债ETF华夏,950243.CSI,上证基准做市国债指数,SH,华夏基金,20231225,国债ETF华夏,10237.05,1111343.3613,111.13433613,国债ETF
513770.SH,港股互联网ETF华宝,931637.CSI,中证港股通互联网指数,SH,华宝基金,20220218,港股互联网ETF华宝,2488813.79,1103540.0345,110.35400345000001,港股ETF
159397.SZ,信用债ETF广发,921128.SZ,深证基准做市信用债指数,SZ,广发基金,20250207,信用债ETF广发,10690.7657,1093301.8451,109.33018451000001,信用债ETF
159395.SZ,信用债ETF大成,921128.SZ,深证基准做市信用债指数,SZ,大成基金,20250127,信用债ETF大成,10638.4202,1090851.905,109.0851905,信用债ETF
512800.SH,银行ETF华宝,399986.SZ,中证银行指数,SH,华宝基金,20170803,银行ETF华宝,1350807.99,1075783.4832,107.57834831999999,金融ETF
560860.SH,工业有色ETF万家,H11059.CSI,中证工业有色金属主题指数,SH,万家基金,20230313,工业有色ETF万家,595423.3,1066879.4689,106.68794688999999,其他行业ETF
159952.SZ,创业板ETF广发,399006.SZ,创业板指数,SZ,广发基金,20170519,创业板ETF广发,474588.4929,1058237.4215,105.82374214999999,宽基指数ETF
