Qlib代码,Tushare代码,ETF名称,ETF类型,资产类别,规模分层,规模(亿元),交易所,管理人,上市日期
SH513090,513090.SH,香港证券ETF易方达,行业主题ETF,股票资产,中等规模 (100-500亿),223.06200883,SH,易方达基金,20200326
SH511110,511110.SH,公司债ETF易方达,债券ETF,债券资产,中等规模 (100-500亿),222.56112614000003,SH,易方达基金,20250124
SH510180,510180.SH,上证180ETF华安,其他ETF,其他资产,中等规模 (100-500亿),221.06019977000003,SH,华安基金,20060518
SZ159949,159949.SZ,创业板50ETF华安,宽基指数ETF,股票资产,中等规模 (100-500亿),216.86148434,SZ,华安基金,20160722
SH562500,562500.SH,机器人ETF华夏,其他ETF,其他资产,中等规模 (100-500亿),216.63554054,SH,华夏基金,20211229
SZ159206,159206.SZ,卫星ETF永赢,行业主题ETF,股票资产,中等规模 (100-500亿),215.44915587,SZ,永赢基金,20250314
SZ159516,159516.SZ,半导体设备ETF国泰,行业主题ETF,股票资产,中等规模 (100-500亿),211.86335888999997,SZ,国泰基金,20230727
SZ159112,159112.SZ,科创债ETF银华,行业主题ETF,股票资产,中等规模 (100-500亿),208.72785788,SZ,银华基金,20250924
SZ159201,159201.SZ,自由现金流ETF华夏,货币ETF,现金资产,中等规模 (100-500亿),203.9101218,SZ,华夏基金,20250227
SH512480,512480.SH,半导体ETF国联安,宽基指数ETF,股票资产,中等规模 (100-500亿),203.18522864000002,SH,国联安基金,20190612
SZ159740,159740.SZ,恒生科技ETF大成,行业主题ETF,股票资产,中等规模 (100-500亿),200.69163304,SZ,大成基金,20210527
SH513980,513980.SH,港股科技ETF景顺,行业主题ETF,股票资产,中等规模 (100-500亿),200.47216622,SH,景顺长城基金,20210702
SZ159928,159928.SZ,消费ETF,行业主题ETF,股票资产,中等规模 (100-500亿),189.85426496,SZ,汇添富基金,20130916
SH551030,551030.SH,科创债ETF鹏华,行业主题ETF,股票资产,中等规模 (100-500亿),186.2321984,SH,鹏华基金,20250717
SH511070,511070.SH,公司债ETF南方,债券ETF,债券资产,中等规模 (100-500亿),185.68803444,SH,南方基金,20250122
SH518850,518850.SH,黄金ETF华夏,商品ETF,商品资产,中等规模 (100-500亿),182.37476155000002,SH,华夏基金,20200605
SH515880,515880.SH,通信ETF国泰,宽基指数ETF,股票资产,中等规模 (100-500亿),180.23701562000002,SH,国泰基金,20190906
SH510880,510880.SH,红利ETF华泰柏瑞,宽基指数ETF,股票资产,中等规模 (100-500亿),177.23913166,SH,华泰柏瑞基金,20070118
SH512690,512690.SH,酒ETF鹏华,其他ETF,其他资产,中等规模 (100-500亿),174.01871857,SH,鹏华基金,20190506
SH512010,512010.SH,医药ETF易方达,宽基指数ETF,股票资产,中等规模 (100-500亿),171.36374333,SH,易方达基金,20131028
SH511260,511260.SH,十年国债ETF国泰,债券ETF,债券资产,中等规模 (100-500亿),169.15726328,SH,国泰基金,20170824
SH515450,515450.SH,红利低波50ETF南方,宽基指数ETF,股票资产,中等规模 (100-500亿),168.58426232,SH,南方基金,20200226
SH551560,551560.SH,兴业中证AAA科技创新公司债ETF,行业主题ETF,股票资产,中等规模 (100-500亿),168.05204536,SH,兴业基金,20250924
SH513630,513630.SH,港股低波红利ETF摩根,宽基指数ETF,股票资产,中等规模 (100-500亿),161.88962604,SH,摩根基金,20231208
SH520920,520920.SH,恒生科技ETF天弘,行业主题ETF,股票资产,中等规模 (100-500亿),161.38618911999998,SH,天弘基金,20250930
SH551520,551520.SH,汇添富中证AAA科创债ETF,行业主题ETF,股票资产,中等规模 (100-500亿),160.02776261,SH,汇添富基金,20250924
SZ159992,159992.SZ,创新药ETF银华,其他ETF,其他资产,中等规模 (100-500亿),154.30968891,SZ,银华基金,20200410
SH512500,512500.SH,中证500ETF华夏,宽基指数ETF,股票资产,中等规模 (100-500亿),152.43543814999998,SH,华夏基金,20150529
SH551550,551550.SH,华夏中证AAA科技创新公司债ETF,行业主题ETF,股票资产,中等规模 (100-500亿),152.11036074,SH,华夏基金,20250717
SH511200,511200.SH,信用债ETF华夏,债券ETF,债券资产,中等规模 (100-500亿),148.27534183,SH,华夏基金,20250207
SZ159530,159530.SZ,机器人ETF易方达,其他ETF,其他资产,中等规模 (100-500亿),147.10071662000001,SZ,易方达基金,20240118
SH512070,512070.SH,证券保险ETF易方达,宽基指数ETF,股票资产,中等规模 (100-500亿),147.01387623,SH,易方达基金,20140718
SH551900,551900.SH,招商中证AAA科技创新公司债ETF,行业主题ETF,股票资产,中等规模 (100-500亿),145.68275392,SH,招商基金,20250717
SH511130,511130.SH,30年国债ETF博时,债券ETF,债券资产,中等规模 (100-500亿),142.83075703,SH,博时基金,20240328
SZ159200,159200.SZ,科创债ETF富国,行业主题ETF,股票资产,中等规模 (100-500亿),140.56736028,SZ,富国基金,20250717
SH516650,516650.SH,有色金属ETF华夏,行业主题ETF,股票资产,中等规模 (100-500亿),140.28235325,SH,华夏基金,20210621
SZ159922,159922.SZ,中证500ETF嘉实,宽基指数ETF,股票资产,中等规模 (100-500亿),139.42767690000002,SZ,嘉实基金,20130315
SZ159755,159755.SZ,电池ETF广发,行业主题ETF,股票资产,中等规模 (100-500亿),137.47327282,SZ,广发基金,20210624
SH517520,517520.SH,黄金股ETF永赢,商品ETF,商品资产,中等规模 (100-500亿),135.72094536,SH,永赢基金,20231101
SH515180,515180.SH,红利ETF易方达,宽基指数ETF,股票资产,中等规模 (100-500亿),135.02767450000002,SH,易方达基金,20191220
SH513380,513380.SH,恒生科技ETF广发,行业主题ETF,股票资产,中等规模 (100-500亿),127.35431263,SH,广发基金,20220512
SH511180,511180.SH,可转债ETF海富通,债券ETF,债券资产,中等规模 (100-500亿),125.54878393999999,SH,海富通基金,20200826
SZ159700,159700.SZ,科创债ETF南方,行业主题ETF,股票资产,中等规模 (100-500亿),121.53691188,SZ,南方基金,20250717
SH563800,563800.SH,A500ETF广发,其他ETF,其他资产,中等规模 (100-500亿),118.49322683999999,SH,广发基金,20241118
SH551800,551800.SH,国泰中证AAA科技创新公司债ETF,行业主题ETF,股票资产,中等规模 (100-500亿),118.12395012,SH,国泰基金,20250924
SZ159781,159781.SZ,科创创业ETF易方达,其他ETF,其他资产,中等规模 (100-500亿),117.11380319999999,SZ,易方达基金,20210705
SZ159920,159920.SZ,恒生ETF华夏,国际ETF,海外资产,中等规模 (100-500亿),114.03698036,SZ,华夏基金,20121022
